"geno,treatment,level,rep"
"S77,W,69.99,1"
"S55,H,146.36,1"
"S56,H,146.36,1"
"nbr1-1,W,146.36,1"
"nbr1-1,W,69.99,1"
"nbr1-2,W,146.36,1"
"nbr1-1,H,146.36,1"
"nbr1-2,H,146.36,1"
"SINAT-RNAi,W,146.36,1"
"WT,W,146.36,1"
"S102,W,69.99,1"
"nbr1-2,W,69.99,1"
"dsk2-6,W,146.36,1"
"S55,W,146.36,1"
"S56,W,146.36,1"
"S102,H,146.36,1"
"atg7-2,W,146.36,1"
"SINAT-RNAi,W,69.99,1"
"WT,W,69.99,1"
"S56,W,69.99,1"
"WT,H,146.36,1"
"atg7-2,H,146.36,1"
"dsk2-6,H,146.36,1"
"S77,W,146.36,1"
"atg7-2,W,69.99,1"
"SINAT-RNAi,H,146.36,1"
"dsk2-6,W,69.99,1"
"S102,W,146.36,1"
"S55,W,69.99,1"
"S77,H,146.36,1"
"SINAT-RNAi,W,146.36,2"
"S77,W,146.36,2"
"WT,W,69.99,2"
"nbr1-1,H,146.36,2"
"SINAT-RNAi,H,146.36,2"
"SINAT-RNAi,W,69.99,2"
"S102,H,146.36,2"
"nbr1-1,W,146.36,2"
"dsk2-6,W,146.36,2"
"atg7-2,H,146.36,2"
"S56,H,146.36,2"
"WT,W,146.36,2"
"atg7-2,W,69.99,2"
"S56,W,146.36,2"
"dsk2-6,W,69.99,2"
"nbr1-2,H,146.36,2"
"S102,W,69.99,2"
"S77,W,69.99,2"
"atg7-2,W,146.36,2"
"S77,H,146.36,2"
"S55,H,146.36,2"
"dsk2-6,H,146.36,2"
"nbr1-1,W,69.99,2"
"S55,W,69.99,2"
"nbr1-2,W,146.36,2"
"nbr1-2,W,69.99,2"
"S55,W,146.36,2"
"WT,H,146.36,2"
"S102,W,146.36,2"
"S56,W,69.99,2"
"dsk2-6,H,146.36,3"
"S55,W,146.36,3"
"WT,H,146.36,3"
"S56,H,146.36,3"
"SINAT-RNAi,H,146.36,3"
"SINAT-RNAi,W,69.99,3"
"nbr1-2,W,69.99,3"
"dsk2-6,W,69.99,3"
"nbr1-2,H,146.36,3"
"atg7-2,W,69.99,3"
"S77,H,146.36,3"
"SINAT-RNAi,W,146.36,3"
"nbr1-2,W,146.36,3"
"S56,W,146.36,3"
"nbr1-1,W,69.99,3"
"atg7-2,W,146.36,3"
"S102,H,146.36,3"
"nbr1-1,W,146.36,3"
"nbr1-1,H,146.36,3"
"atg7-2,H,146.36,3"
"S102,W,146.36,3"
"S77,W,69.99,3"
"S55,H,146.36,3"
"dsk2-6,W,146.36,3"
"WT,W,146.36,3"
"WT,W,69.99,3"
"S56,W,69.99,3"
"S77,W,146.36,3"
"S55,W,69.99,3"
"S102,W,69.99,3"
"WT,W,69.99,4"
"atg7-2,W,69.99,4"
"dsk2-6,W,146.36,4"
"S102,H,146.36,4"
"dsk2-6,W,69.99,4"
"nbr1-2,W,146.36,4"
"SINAT-RNAi,W,69.99,4"
"S55,W,69.99,4"
"S102,W,69.99,4"
"nbr1-1,W,146.36,4"
"dsk2-6,H,146.36,4"
"S55,H,146.36,4"
"nbr1-2,W,69.99,4"
"nbr1-1,H,146.36,4"
"atg7-2,W,146.36,4"
"WT,W,146.36,4"
"S77,W,146.36,4"
"SINAT-RNAi,H,146.36,4"
