"geno,treatment,level,rep"
"S56,W,69.99,4"
"S77,W,69.99,4"
"atg7-2,H,146.36,4"
"S56,H,146.36,4"
"S77,H,146.36,4"
"S102,W,146.36,4"
"S55,W,146.36,4"
"nbr1-2,H,146.36,4"
"nbr1-1,W,69.99,4"
"SINAT-RNAi,W,146.36,4"
"WT,H,146.36,4"
"S56,W,146.36,4"
"nbr1-2,W,146.36,5"
"WT,W,146.36,5"
"dsk2-6,W,69.99,5"
"WT,H,146.36,5"
"S102,W,69.99,5"
"nbr1-1,W,69.99,5"
"dsk2-6,H,146.36,5"
"S102,W,146.36,5"
"S55,W,69.99,5"
"nbr1-1,W,146.36,5"
"S77,H,146.36,5"
"atg7-2,W,146.36,5"
"SINAT-RNAi,H,146.36,5"
"WT,W,69.99,5"
"atg7-2,W,69.99,5"
"atg7-2,H,146.36,5"
"S55,W,146.36,5"
"S56,H,146.36,5"
"S55,H,146.36,5"
"nbr1-2,W,69.99,5"
"SINAT-RNAi,W,146.36,5"
"nbr1-1,H,146.36,5"
"S102,H,146.36,5"
"SINAT-RNAi,W,69.99,5"
"S77,W,69.99,5"
"nbr1-2,H,146.36,5"
"S56,W,69.99,5"
"dsk2-6,W,146.36,5"
"S77,W,146.36,5"
"S56,W,146.36,5"
"nbr1-1,W,146.36,6"
"nbr1-1,H,146.36,6"
"nbr1-2,W,69.99,6"
"S55,H,146.36,6"
"SINAT-RNAi,W,69.99,6"
"S77,W,146.36,6"
"S56,W,146.36,6"
"S77,W,69.99,6"
"atg7-2,W,146.36,6"
"S77,H,146.36,6"
"S102,W,69.99,6"
"WT,H,146.36,6"
"dsk2-6,H,146.36,6"
"S55,W,69.99,6"
"WT,W,69.99,6"
"nbr1-2,H,146.36,6"
"S102,H,146.36,6"
"WT,W,146.36,6"
"dsk2-6,W,146.36,6"
"S55,W,146.36,6"
"S56,W,69.99,6"
"nbr1-1,W,69.99,6"
"atg7-2,W,69.99,6"
"S102,W,146.36,6"
"dsk2-6,W,69.99,6"
"atg7-2,H,146.36,6"
"SINAT-RNAi,W,146.36,6"
"nbr1-2,W,146.36,6"
"SINAT-RNAi,H,146.36,6"
"S56,H,146.36,6"
"S56,H,146.36,7"
"SINAT-RNAi,W,146.36,7"
"WT,W,146.36,7"
"atg7-2,W,69.99,7"
"S102,W,69.99,7"
"dsk2-6,H,146.36,7"
"dsk2-6,W,146.36,7"
"atg7-2,H,146.36,7"
"atg7-2,W,146.36,7"
"nbr1-1,H,146.36,7"
"nbr1-1,W,69.99,7"
"S55,W,146.36,7"
"S102,W,146.36,7"
"S77,H,146.36,7"
"nbr1-2,W,146.36,7"
"dsk2-6,W,69.99,7"
"WT,W,69.99,7"
"nbr1-1,W,146.36,7"
"S56,W,146.36,7"
"S55,H,146.36,7"
"S56,W,69.99,7"
"nbr1-2,H,146.36,7"
"S55,W,69.99,7"
"S77,W,69.99,7"
"S102,H,146.36,7"
"SINAT-RNAi,H,146.36,7"
"nbr1-2,W,69.99,7"
"WT,H,146.36,7"
"S77,W,146.36,7"
"SINAT-RNAi,W,69.99,7"
"nbr1-2,W,146.36,8"
"S55,H,146.36,8"
"dsk2-6,W,146.36,8"
"atg7-2,W,69.99,8"
"S77,H,146.36,8"
"S55,W,146.36,8"
"S55,W,69.99,8"
"nbr1-1,W,146.36,8"
"S77,W,146.36,8"
"nbr1-1,H,146.36,8"
"S102,W,69.99,8"
"S56,H,146.36,8"
"nbr1-1,W,69.99,8"
"dsk2-6,H,146.36,8"
"SINAT-RNAi,H,146.36,8"
"nbr1-2,H,146.36,8"
"SINAT-RNAi,W,69.99,8"
"WT,W,146.36,8"
"dsk2-6,W,69.99,8"
"WT,W,69.99,8"
"WT,H,146.36,8"
"S77,W,69.99,8"
"nbr1-2,W,69.99,8"
"S102,H,146.36,8"
"S56,W,69.99,8"
"S56,W,146.36,8"
"S102,W,146.36,8"
"atg7-2,W,146.36,8"
"atg7-2,H,146.36,8"
"SINAT-RNAi,W,146.36,8"
